R,G,B,class
230.44007312033062,228.03771260530917,165.2597162613257,lemon
249.62398333333334,219.08794722222223,163.4299861111111,lemon
240.68187500000002,220.37140694444446,163.5134277777778,lemon
238.354212345679,229.35806419753087,183.0544790123457,lemon
242.31434825870647,217.12161194029852,148.90772139303482,lemon
240.57896296296298,220.28397037037038,163.49147654320987,lemon
232.69082632360218,232.24819396338447,170.52845126175163,lemon
251.57804820415876,233.00096408317577,168.173213610586,lemon
239.69084947839048,220.85893691008445,159.57828117237952,lemon
243.80198208073736,229.5385286518048,197.488171273252,lemon
233.14817599999998,226.423316,175.492492,lemon
248.17161814220637,227.86783521489403,156.13703703703703,lemon
227.15680079483357,211.0993740685544,143.47723795330353,lemon
110.10658718330849,135.74249379036263,44.469428713363136,lemon
245.9088032903583,231.5743296685913,192.3597247488729,lemon
247.7027111111111,240.56435555555558,200.9878111111111,lemon
240.6778277777778,220.3668076388889,163.5342,lemon
239.0300527777778,221.49526111111112,166.0184111111111,lemon
249.31729722222224,219.0890638888889,163.4220388888889,lemon
238.90226907271753,231.64895876759374,171.97953268616124,lemon
247.78895555555556,240.56542222222222,201.0293777777778,lemon
239.00753611111114,221.49644166666667,166.01748333333333,lemon
189.83143399810066,166.85586815447925,138.57514245014244,melon
148.11437037037038,129.7312,84.09592098765432,melon
166.03120987654322,170.96171851851852,143.6199901234568,melon
148.11437037037038,129.7312,84.09592098765432,melon
197.1388400636981,180.72692446367407,164.11924238327023,melon
191.58952649111674,189.28896335659897,163.06587087563452,melon
201.572204828801,178.40579232047602,150.47182576978855,melon
201.32772732648246,178.4047279675839,150.46524047528646,melon
216.19443616492796,224.07205166418282,198.71262791852956,melon
168.28789925313842,166.92148021611314,147.61864373112982,melon
165.78528442906574,171.09423944636677,143.60087474048441,melon
165.81769965397925,171.0566920415225,143.59790726643598,melon
196.4696317204301,141.29879569892472,129.61652688172043,melon
196.76813440860215,141.60847849462365,129.94942204301074,melon
197.15950814253952,180.73369238627487,164.10269439937503,melon
199.0914880952381,173.71873015873015,156.2122222222222,melon
217.58591259232858,207.05540703776313,196.4403057486287,melon
183.69758646481884,166.24619744424427,158.61590341645334,melon
183.6846496634114,166.2378011651549,158.60121150827513,melon
167.80424691358024,185.98696296296296,154.67926913580246,melon
